Jurisdiction,Stratum,Institution,Founding_year,Selection_status,Final_state,Source_locator
UAE,G1,United Arab Emirates University,1976,FINALIZED,E,https://www.uaeu.ac.ae/en/about/pdfs/policies-2025/generative-ai-policy.pdf
UAE,G1,University of Sharjah,1997,FINALIZED,E,https://www.sharjah.ac.ae/-/media/project/uos/sites/uos/graduate-studies/bylaws-and-regulations/policy-on-the-responsible-use-of-artificial-intelligence-in-academic-texts.pdf
UAE,G1,Zayed University,1998,FINALIZED,E,https://ppoliciesprocedures.zu.ac.ae/Policy/DownloadAttachment/1693
UAE,G1,University of Khorfakkan,2022,FINALIZED,U,https://www.ukf.ac.ae/en/byLaws/
UAE,G2,Ajman University,1988,FINALIZED,E,https://www.ajman.ac.ae/upload/docs/Policies_and_Procedures_Manual_2025-2026.pdf
UAE,G2,University of Wollongong in Dubai,1993,FINALIZED,P,https://www.uowdubai.ac.ae/academic-integrity/enai-wg-centre-academic-integrity
UAE,G2,American University in Dubai,1995,FINALIZED,P,https://www.aud.edu/media/catalogs/student-handbook/Student_Handbook_2025-2026.pdf
UAE,G2,American University of Sharjah,1997,FINALIZED,E,https://aihub.aus.edu/wp-content/uploads/2025/09/FINAL-0.f.-Generative-AI-GAI-Tools-in-Teaching-Learning-Policy-January-1-2024.pdf
UAE,G2,University of Dubai,1997,FINALIZED,P,https://ud.smartcatalogiq.com/en/2025-2026/ud-code-of-conduct/student-code-of-conduct-policies/student-academic-integrity-policy
UAE,G3,Fatima College of Health Sciences,2006,FINALIZED,U,https://www.fchs.ac.ae/accreditation/
UAE,G3,Emirates College for Advanced Education,2007,FINALIZED,U,
UAE,G3,Abu Dhabi Polytechnic,2010,FINALIZED,U,
UAE,G3,Al Qasimia University,2013,FINALIZED,P,https://journals.alqasimia.ac.ae/index.php/ie/PAI
UAE,G3,Rabdan Academy,2013,FINALIZED,E,https://ra.ac.ae/en/about-rabdan/ethics-compliance
Saudi Arabia,G1,King Saud University,1957,FINALIZED,E,https://aio.ksu.edu.sa/ar/node/2976
Saudi Arabia,G1,King Abdulaziz University,1967,FINALIZED,E,https://www.kau.edu.sa/en/internal-regulations/regulation/5258cc27-4a0d-4ab1-976e-687f567632fe
Saudi Arabia,G1,Imam Mohammad Ibn Saud Islamic University,1974,FINALIZED,U,
Saudi Arabia,G1,King Faisal University,1975,FINALIZED,P,https://mportal.kfu.edu.sa/ar/Deans/E-Learning/Documents/REGULATIONS-AND-STANDARDS/assets/PDF_Content/Academic-integrity-policies-and-laws.pdf
Saudi Arabia,G2,Dar Al-Hekma University,1999,FINALIZED,U,
Saudi Arabia,G2,Effat University,1999,FINALIZED,U,
Saudi Arabia,G2,Prince Sultan University,1999,FINALIZED,E,https://psu.edu.sa/en/TL0017-ai-ethics-policy
Saudi Arabia,G2,University of Business and Technology,2000,FINALIZED,P,https://diplomaplatform.ubt.edu.sa/pages/application-terms
Saudi Arabia,G3,Islamic University of Madinah,1961,FINALIZED,P,https://iu.edu.sa/تقارير-سدايا-الذكاء-الاصطناعي-التوليدي-في-التعليم
Saudi Arabia,G3,King Fahd University of Petroleum and Minerals,1963,FINALIZED,P,https://math.kfupm.edu.sa/docs/default-source/default-document-library/math667-251.pdf?sfvrsn=ceb7132d_1
Saudi Arabia,G3,King Saud bin Abdulaziz University for Health Sciences,2005,FINALIZED,U,
Qatar,G1,Qatar University,1977,FINALIZED,E,https://www.qu.edu.qa/en-us/about/policy/Documents/Instructions%20onThe%20Use%20of%20Generative%20Artificial%20Intelligence%20Tools%20at%20Qatar%20University-Approved.pdf
Qatar,G1,Community College of Qatar,2010,FINALIZED,U,
Qatar,G2,Virginia Commonwealth University School of the Arts in Qatar,1998,FINALIZED,E,https://blogs.vcu.edu/ico/2026/03/13/understanding-vcus-generative-ai-policy-responsible-ethical-and-safe-use-of-ai-on-campus/
Qatar,G2,Al Rayyan International University College,2000,FINALIZED,U,
Qatar,G2,Weill Cornell Medicine-Qatar,2001,FINALIZED,P,https://qatar-weill.cornell.edu/event/alumni-conference/abstract-submission
Qatar,G2,Texas A&M University at Qatar,2003,FINALIZED,P,https://www.qatar.tamu.edu/ai-workshops-2025
Qatar,G3,Qatar Aeronautical Academy,1977,FINALIZED,U,
Qatar,G3,Qatar Olympic Academy,2006,FINALIZED,U,
Qatar,G3,Qatar Leadership Centre,2008,FINALIZED,U,
Qatar,G3,Qatar Finance and Business Academy,2009,FINALIZED,U,
Oman,G1,Sultan Qaboos University,1986,FINALIZED,E,https://www.squ.edu.om/About/Support-Centers-/Centre-For-Excellence-In-Teaching-and-Learning
Oman,G2,Majan University College,1995,FINALIZED,E,https://move.majancollege.edu.om/mod/resource/view.php?id=90589
Oman,G2,Modern College of Business and Science,1996,FINALIZED,U,
Oman,G2,Muscat College,1996,FINALIZED,P,https://muscatcollege.edu.om/std-portal/storage/59/6799b8d598cb0_UMPSA-Programme-Guide-2024-25-version3.0-Draft.pdf
Oman,G2,Sohar University,2001,FINALIZED,U,https://www.su.edu.om/student-handbooks/
Oman,G3,College of Sharia Sciences,1986,FINALIZED,U,
Oman,G3,Oman College of Health Sciences,2018,FINALIZED,U,
Oman,G3,University of Technology and Applied Sciences,2020,FINALIZED,U,
Bahrain,G1,University of Bahrain,1986,FINALIZED,E,https://governance.uob.edu.bh/view/297/entry/156/?pagenum=3
Bahrain,G2,Bahrain Institute of Banking and Finance,1981,FINALIZED,E,https://www.bibf.com/academics/wp-content/uploads/2024/10/BU-2024-2025-Student-Handbook.pdf
Bahrain,G2,Ahlia University,2001,FINALIZED,E,https://www.ahlia.edu.bh/cms4/wp-content/uploads/2025/06/P-779-Student-Policy-on-Academic-Integrity-and-Guide-for-Dealing-with-Academic-Misconduct-version-2.0.pdf
Bahrain,G2,Gulf University,2001,FINALIZED,E,https://www.gulfuniversity.edu.bh/about-us/our-policies
Bahrain,G2,Kingdom University,2001,FINALIZED,U,https://www.ku.edu.bh/wp-content/uploads/2024/02/January-2024-Newsletter.pdf
Bahrain,G3,Arabian Gulf University,1980,FINALIZED,E,https://www.agu.edu.bh/en/graduate-studies/
Bahrain,G3,Bahrain Polytechnic,2008,FINALIZED,E,https://www.polytechnic.bh/wp-content/uploads/2025/07/Academic-Regulations-for-BP-2.0_Version-3_Approved-by-AC-30-June-2025.pdf
Kuwait,G1,Kuwait University,1966,FINALIZED,E,https://www.ku.edu.kw/generative-artificial-intelligence-genai-policy
Kuwait,G1,Abdullah Al-Salem University,2019,FINALIZED,U,
Kuwait,G2,Arab Open University-Kuwait,2002,FINALIZED,U,
Kuwait,G2,Gulf University for Science and Technology,2002,FINALIZED,E,https://www.gust.edu.kw/about-us/policies-and-procedures
Kuwait,G2,American University of Kuwait,2003,FINALIZED,P,https://www.auk.edu.kw/media-hub/news/auk-cte-hosts-artificial-intelligence-in-education-workshop-for-iep-instructors/
