Jurisdiction,Stratum,Institution,Founding_year,Selection_basis,Selection_status,Notes,Selection_note
UAE,G1,United Arab Emirates University,1976,oldest public/general,FINALIZED,,
UAE,G1,University of Sharjah,1997,oldest public/general,FINALIZED,Autonomous non-profit owned by Government of Sharjah,
UAE,G1,Zayed University,1998,oldest public/general,FINALIZED,,
UAE,G1,University of Khorfakkan,2022,fewer than four older eligible public/general after registry closure,FINALIZED,,
UAE,G2,Ajman University,1988,oldest private/non-government,FINALIZED,,
UAE,G2,University of Wollongong in Dubai,1993,oldest private/non-government,FINALIZED,,
UAE,G2,American University in Dubai,1995,oldest private/non-government,FINALIZED,,
UAE,G2,American University of Sharjah,1997,fourth-place tie,FINALIZED,,
UAE,G2,University of Dubai,1997,fourth-place tie,FINALIZED,,
UAE,G3,Fatima College of Health Sciences,2006,oldest eligible after author-affiliation exclusion,FINALIZED,HCT excluded before AI search,
UAE,G3,Emirates College for Advanced Education,2007,oldest eligible after author-affiliation exclusion,FINALIZED,,
UAE,G3,Abu Dhabi Polytechnic,2010,oldest eligible after author-affiliation exclusion,FINALIZED,,
UAE,G3,Al Qasimia University,2013,fourth-place tie,FINALIZED,,
UAE,G3,Rabdan Academy,2013,fourth-place tie,FINALIZED,,
Saudi Arabia,G1,King Saud University,1957,oldest public/general,FINALIZED,,
Saudi Arabia,G1,King Abdulaziz University,1967,oldest public/general,FINALIZED,,
Saudi Arabia,G1,Imam Mohammad Ibn Saud Islamic University,1974,oldest public/general,FINALIZED,,
Saudi Arabia,G1,King Faisal University,1975,oldest public/general,FINALIZED,,
Saudi Arabia,G2,Dar Al-Hekma University,1999,oldest private/non-government,FINALIZED,Continuity retained through later university status,
Saudi Arabia,G2,Effat University,1999,oldest private/non-government,FINALIZED,1998 license; 1999 opening,
Saudi Arabia,G2,Prince Sultan University,1999,oldest private/non-government,FINALIZED,1998 licensing/announcement retained as provenance note,
Saudi Arabia,G2,University of Business and Technology,2000,oldest private/non-government,FINALIZED,,
Saudi Arabia,G3,Islamic University of Madinah,1961,oldest public specialized,FINALIZED,,
Saudi Arabia,G3,King Fahd University of Petroleum and Minerals,1963,oldest public specialized,FINALIZED,,
Saudi Arabia,G3,King Saud bin Abdulaziz University for Health Sciences,2005,all available eligible public specialized under locked rule,FINALIZED,KAUST not G3,
Qatar,G1,Qatar University,1977,oldest public/general,FINALIZED,,
Qatar,G1,Community College of Qatar,2010,all available public/general under prespecified stratum definition,FINALIZED,,
Qatar,G2,Virginia Commonwealth University School of the Arts in Qatar,1998,oldest non-government/QF partner,FINALIZED,,
Qatar,G2,Al Rayyan International University College,2000,oldest private/non-government,FINALIZED,,
Qatar,G2,Weill Cornell Medicine-Qatar,2001,oldest non-government/QF partner,FINALIZED,,
Qatar,G2,Texas A&M University at Qatar,2003,oldest non-government/QF partner,FINALIZED,Active at cutoff,
Qatar,G3,Qatar Aeronautical Academy,1977,public specialized HEI per Ministry list,FINALIZED,,
Qatar,G3,Qatar Olympic Academy,2006,public specialized HEI per Ministry list,FINALIZED,Partner provision with University of Lleida,
Qatar,G3,Qatar Leadership Centre,2008,public specialized HEI per Ministry list,FINALIZED,Partner provision with Georgetown University,
Qatar,G3,Qatar Finance and Business Academy,2009,public specialized HEI per Ministry list,FINALIZED,Partner provision with Northumbria University,
Oman,G1,Sultan Qaboos University,1986,all available public/general under prespecified stratum definition,FINALIZED,,
Oman,G2,Majan University College,1995,oldest private/non-government,FINALIZED,,
Oman,G2,Modern College of Business and Science,1996,oldest private/non-government,FINALIZED,,
Oman,G2,Muscat College,1996,oldest private/non-government,FINALIZED,,
Oman,G2,Sohar University,2001,oldest private/non-government,FINALIZED,,
Oman,G3,College of Sharia Sciences,1986,oldest public specialized under official continuity history,FINALIZED,,
Oman,G3,Oman College of Health Sciences,2018,all available active public specialized,FINALIZED,,
Oman,G3,University of Technology and Applied Sciences,2020,all available active public specialized,FINALIZED,New legal university created in 2020; predecessors not silently backdated,
Bahrain,G1,University of Bahrain,1986,all available public/general under prespecified stratum definition,FINALIZED,,
Bahrain,G2,Bahrain Institute of Banking and Finance,1981,oldest private HEI,FINALIZED,BQA active HEI; institute name not exclusionary,
Bahrain,G2,Ahlia University,2001,oldest private/non-government,FINALIZED,,
Bahrain,G2,Gulf University,2001,oldest private/non-government,FINALIZED,,
Bahrain,G2,Kingdom University,2001,oldest private/non-government,FINALIZED,BQA lists KU as an active private higher-education institution; establishment year 2001 fills the fourth position before 2002 cases.,"BQA 2019 review records private-university status and founding year 2001; BQA higher-education report index last modified 7 Jul 2026 lists Kingdom University with a Jul 2026 compliant institutional review, providing pre-cutoff eligibility continuity."
Bahrain,G3,Arabian Gulf University,1980,all available public specialized,FINALIZED,,
Bahrain,G3,Bahrain Polytechnic,2008,all available public specialized,FINALIZED,,
Kuwait,G1,Kuwait University,1966,oldest public/general,FINALIZED,,
Kuwait,G1,Abdullah Al-Salem University,2019,all available public/general under prespecified stratum definition,FINALIZED,,
Kuwait,G2,Arab Open University-Kuwait,2002,oldest private/non-government,FINALIZED,Integrated university operational history 2002,
Kuwait,G2,Gulf University for Science and Technology,2002,oldest private/non-government,FINALIZED,,
Kuwait,G2,American University of Kuwait,2003,oldest private/non-government,FINALIZED,,
Kuwait,G2,Australian University,2004,oldest private/non-government,FINALIZED,Licensed as Australian College of Kuwait in 2003; operation 2004,
