Jurisdiction,Institution,Final_state,Evidence_cutoff,Search_closed,English_terms,Arabic_terms,Source_priority,Qualifying_locator_if_any,Closure_reason
UAE,University of Khorfakkan,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,https://www.ukf.ac.ae/en/byLaws/,official governance library searched; no qualifying AI instrument located
UAE,Abu Dhabi Polytechnic,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site bilingual documented search
UAE,Al Qasimia University,P,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,https://journals.alqasimia.ac.ae/index.php/ie/PAI,official university-journal rule; scope narrower than institution-wide L4 E gate
UAE,Emirates College for Advanced Education,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site bilingual documented search
UAE,Fatima College of Health Sciences,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,https://www.fchs.ac.ae/accreditation/,official institutional pages searched; activity/curriculum excluded as non-rule
Saudi Arabia,Imam Mohammad Ibn Saud Islamic University,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site Arabic/English search; non-AI IT rules and AI activity excluded
Saudi Arabia,Dar Al-Hekma University,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site Arabic/English search; academic offering is not a governance rule
Saudi Arabia,Effat University,U,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,,official-site Arabic/English search; activity is not a governance rule
Saudi Arabia,University of Business and Technology,P,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,https://diplomaplatform.ubt.edu.sa/pages/application-terms,official rule; narrower platform/program scope
Saudi Arabia,King Fahd University of Petroleum and Minerals,P,2026-07-23,2026-09-07,AI policy; artificial intelligence policy; generative AI; GenAI; ChatGPT; academic integrity AI,سياسة الذكاء الاصطناعي؛ الذكاء الاصطناعي التوليدي؛ شات جي بي تي؛ النزاهة الأكاديمية والذكاء الاصطناعي,official institution domain/policy library/handbook; official regulator only as context; news/training/research not substitutable for rule,https://math.kfupm.edu.sa/docs/default-source/default-document-library/math667-251.pdf?sfvrsn=ceb7132d_1,official course-level rule; insufficient for E
