Source_ID,Jurisdiction,Layer,Exact official document,Issuing authority,Year / date,Official URL,E/P/U justification / boundary,Verification status
GCC01,GCC,Regional,"GCC AI coordination: ethics manual, public-services framework, and unified Gulf strategy work",GCC General Secretariat,2025,https://www.gcc-sg.org/en/MediaCenter/News/Pages/news-2025-10-7-2.aspx,Regional/process evidence only; no final unified strategy instrument located by cutoff,Primary source checked
GCC02,GCC,Regional,Adopted GCC AI frameworks and expected Gulf AI Strategy adoption,GCC General Secretariat,2025,https://www.gcc-sg.org/en/MediaCenter/News/Pages/default.aspx?FilterField1=Category&FilterValue1=Secretary+General&PageFirstRow=21&Paged=TRUE&View=08d56bf8-101c-4f4a-ad8f-9009dfc936bd&p_ArticleStartDate=20251205+21%3A00%3A00&p_ID=1580&p_SortBehavior=0,Expected adoption is not treated as a located final strategy instrument,Official statement checked; final strategy not located
GCC03,GCC,Regional,Ministerial agenda on a unified GCC AI strategy and two general AI frameworks,GCC General Secretariat,2025,https://www.gcc-sg.org/en/MediaCenter/News/Pages/default.aspx?PageFirstRow=91&Paged=TRUE&View=%7B08D56BF8-101C-4F4A-AD8F-9009DFC936BD%7D&p_ArticleStartDate=20251007+21%3A00%3A00&p_ID=1481&p_SortBehavior=0,Meeting/process evidence; not a published higher-education instrument,Official meeting record checked
UAE01,United Arab Emirates,L1,UAE Strategy for Artificial Intelligence 2031,UAE Government,2017,https://u.ae/en/about-the-uae/digital-uae/digital-technology/artificial-intelligence/artificial-intelligence-in-government-policies,Direct national-direction evidence; not university assessment rules,Primary source checked
UAE02,United Arab Emirates,L2,UAE Charter for the Development and Use of Artificial Intelligence,UAE Government,2024,https://u.ae/en/about-the-uae/strategies-initiatives-and-awards/policies/Ai/The-UAE-Charter-for-the-Development-and-Use-of-Artificial-Intelligence,Inspectable cross-sector governance instrument supports L2=E; implementation mechanisms may vary,Primary source checked
UAE03,United Arab Emirates,L2,Dubai AI Ethics Principles and Guidelines,Digital Dubai,2019,https://www.digitaldubai.ae/docs/default-source/ai-principles-resources/ai-ethics.pdf,"Inspectable operational guidance corroborates L2; Dubai-level, not federal HE rule",Primary source checked
UAE04,United Arab Emirates,L4,Generative AI Usage by the Students Policy,United Arab Emirates University,2025,https://www.uaeu.ac.ae/en/about/pdfs/policies-2025/generative-ai-policy.pdf,Formal institution-level rule supports L4=E; does not represent all UAE HEIs,Primary source checked
UAE05,United Arab Emirates,L4,Generative AI Tools in Teaching and Learning Policy,American University of Sharjah,2024,https://aihub.aus.edu/wp-content/uploads/2025/09/FINAL-0.f.-Generative-AI-GAI-Tools-in-Teaching-Learning-Policy-January-1-2024.pdf,Formal university policy corroborates L4=E; official policy remains live and in force.,Primary official policy PDF independently rechecked on 7 Sep 2026; policy initiated 1 Jan 2024 and approved by Chancellor 2 Jan 2024.
SAU01,Saudi Arabia,L1,National Strategy for Data and Artificial Intelligence,Saudi Data and AI Authority,2020,https://sdaia.gov.sa/en/SDAIA/SdaiaStrategies/Documents/NSDAI.pdf,Direct national-direction instrument supports L1=E,Primary source metadata checked; preserve copy at lock
SAU02,Saudi Arabia,L2,Generative AI Guidelines for Government,Saudi Data and AI Authority,2024,https://sdaia.gov.sa/en/SDAIA/about/Files/GenAIGuidelinesForGovernmentENCompressed.pdf,"Inspectable operational guideline supports L2=E; government audience, not education-specific",Primary source metadata checked; preserve copy at lock
SAU03,Saudi Arabia,L3,Generative AI in Education,Saudi Data and AI Authority,2024,https://sdaia.gov.sa/ar/MediaCenter/KnowledgeCenter/ResearchLibrary/GenAIE.pdf,Education-specific inspectable guidance supports L3=E,Primary source metadata checked; preserve copy at lock
SAU04,Saudi Arabia,L4,Generative AI Use Policy,Princess Nourah bint Abdulrahman University,2025,https://pnu.edu.sa/ar/Deanship/Devandskilldean/ViceDeanshipofdevelopment/Documents/%D8%A8%D8%AE%D8%AA%D9%85_%D8%A7%D9%84%D9%88%D9%83%D8%A7%D9%84%D8%A9_%D9%88_%D8%A7%D9%85%D8%A7%D9%86%D8%A9_%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3_Generative_AI_Use_Policy_English_August_2025_%281%29%5B1%5D.pdf,Formal institution-level policy supports L4=E; not national implementation proof,Primary source checked
SAU05,Saudi Arabia,L4,Policies for the Use of Artificial Intelligence in Education and Scientific Research,Imam Abdulrahman Bin Faisal University,2024,https://iauelearning.iau.edu.sa/storage/policyandrules/policies_for_the_use_of_artificial_intelligence_education_and_scientific_research_en.pdf,Institution-level policy corroborates L4=E,Primary source checked
QAT01,Qatar,L1,National Artificial Intelligence Strategy for Qatar,Ministry of Communications and Information Technology,2019,https://www.mcit.gov.qa/-/media/mcit/documents/strategies/national_artificial_intelligence_strategy_for_qatar_2019_en.pdf,Direct national-direction instrument supports L1=E; predates GenAI wave,Primary source checked
QAT02,Qatar,L3,Education Strategy 2024-2030,Ministry of Education and Higher Education,2024,https://edu.gov.qa/en/News/Details/10424400,Related sector evidence but broader than a dedicated GenAI governance guide; supports L3=P,Primary source checked
QAT04,Qatar,L2,Ethical Principles and Guidelines for the Development and Use of AI Technologies - official launch references,Ministry of Communications and Information Technology,2025,https://www.mcit.gov.qa/en/news/mcit-main-partners-in-organizing-the-international-conference-on-ai-and-human-rights,Announcement alone is partial; QAT05 provides the inspectable instrument used for L2=E,Corroboration only
QAT03,Qatar,L4,Instructions on the Use of Generative Artificial Intelligence Tools at Qatar University,Qatar University,2025,https://www.qu.edu.qa/en-us/about/policy/Documents/Instructions%20onThe%20Use%20of%20Generative%20Artificial%20Intelligence%20Tools%20at%20Qatar%20University-Approved.pdf,Approved institution-wide instructions support L4=E; not system-wide HE rule,Primary source checked
OMN01,Oman,L1,Executive Program for Artificial Intelligence and Advanced Technologies 2024-2026,Government of Oman,2024,https://oman.om/docs/default-source/default-document-library/the-executive-program-for-ai-and-advanced-technologies.pdf,Adopted national implementation program supports L1=E,Primary source checked; preserve copy at lock
OMN02,Oman,L2,General Policy for the Safe and Ethical Use of Artificial Intelligence Systems,"Ministry of Transport, Communications and Information Technology",2025,https://mtcit.gov.om/library-3/legislations-policies-8/policies-73/general-policy-for-the-safe-and-ethical-use-of-artificial-intelligence-systems-291,Inspectable cross-sector policy supports L2=E; HE translation remains separate,Primary source checked
OMN03,Oman,L4,Policy Manual January 2026,Bayan University College,2026,https://buc.edu.om/wp-content/uploads/_pda/2026/02/BUC-Policy-Manual-January-26-2026.pdf,AI embedded in broader manual rather than dedicated institution-wide GenAI policy; supports L4=P,Primary source checked
OMN04,Oman,L4,"Guidelines for Using GenAI Tools in Teaching, Learning and Assessment",Sultan Qaboos University / Centre for Excellence in Teaching and Learning,2024,https://www.squ.edu.om/About/Support-Centers-/Centre-For-Excellence-In-Teaching-and-Learning,Recovered pre-cutoff university guideline satisfies the unchanged L4 evidence boundary; supports L4=E,Recovered and cross-checked against official SQU/CETL records; incorporated without moving the historical cutoff
BHR01,Bahrain,L2,General Policy for the Use of Artificial Intelligence,Information & eGovernment Authority,2025,https://www.iga.gov.bh/Media/Publications/National%20Digital%20Policies/General%20Policy%20for%20the%20Use%20of%20AI%20-%20%20Final%2030%20Jul%202025.pdf,Inspectable cross-sector policy supports L2=E; national strategy remained under development,Primary source checked
BHR02,Bahrain,L1,Kingdom of Bahrain AI Readiness Assessment Methodology Report,Information & eGovernment Authority / UNESCO,2025,https://www.iga.gov.bh/Media/Agencies/Kingdom%20of%20Bahrain%20AI%20RAM%20Report.pdf,Readiness assessment is not an adopted strategy; supports L1=P,Primary source checked
BHR03,Bahrain,L3,Digital Empowerment in Education Program,Ministry of Education,2015,https://moe.gov.bh/en/digital-empowerment-in-education-program,"Target groups are students, educational bodies, and administrative authorities in the schools of Bahrain; no direct HE translation process is documented; L3=U under the clarified uniform K-12 boundary.",Primary source checked; K-12-only scope re-adjudicated under uniform L3 boundary.
BHR04,Bahrain,L4,Academic Regulations Version 2,Bahrain Polytechnic,2024,https://www.polytechnic.bh/wp-content/uploads/2024/09/Academic-Regulations-BP-2.0-July-2024_Version-2.pdf,Narrow integrity rule; corroborative but not the record used to close L4=E after BHR05,Primary source checked
KWT01,Kuwait,L1,National Strategy for Artificial Intelligence Workshop,Central Agency for Information Technology,2024,https://cait.gov.kw/en/media-center/news-events/741/,Does not establish adopted final strategy; supports L1=P,Primary source checked
