Jurisdiction,Stratum,E,P,U,N,E_share,P_share,U_share
Bahrain,G1,1,0,0,1,1.000000000,0.000000000,0.000000000
Bahrain,G2,3,0,1,4,0.750000000,0.000000000,0.250000000
Bahrain,G3,2,0,0,2,1.000000000,0.000000000,0.000000000
Kuwait,G1,1,0,1,2,0.500000000,0.000000000,0.500000000
Kuwait,G2,1,2,1,4,0.250000000,0.500000000,0.250000000
Kuwait,G3,0,0,2,2,0.000000000,0.000000000,1.000000000
Oman,G1,1,0,0,1,1.000000000,0.000000000,0.000000000
Oman,G2,1,1,2,4,0.250000000,0.250000000,0.500000000
Oman,G3,0,0,3,3,0.000000000,0.000000000,1.000000000
Qatar,G1,1,0,1,2,0.500000000,0.000000000,0.500000000
Qatar,G2,1,2,1,4,0.250000000,0.500000000,0.250000000
Qatar,G3,0,0,4,4,0.000000000,0.000000000,1.000000000
Saudi Arabia,G1,2,1,1,4,0.500000000,0.250000000,0.250000000
Saudi Arabia,G2,1,1,2,4,0.250000000,0.250000000,0.500000000
Saudi Arabia,G3,0,2,1,3,0.000000000,0.666666667,0.333333333
UAE,G1,3,0,1,4,0.750000000,0.000000000,0.250000000
UAE,G2,2,3,0,5,0.400000000,0.600000000,0.000000000
UAE,G3,1,1,3,5,0.200000000,0.200000000,0.600000000
