Jurisdiction,Institution,Selected,Official_eligibility_source,Eligibility_authority
UAE,United Arab Emirates University,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,University of Sharjah,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,Zayed University,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,University of Khorfakkan,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,Ajman University,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,University of Wollongong in Dubai,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,American University in Dubai,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,American University of Sharjah,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,University of Dubai,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,Fatima College of Health Sciences,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,Emirates College for Advanced Education,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,Abu Dhabi Polytechnic,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,Al Qasimia University,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
UAE,Rabdan Academy,YES,https://www.caa.ae/Pages/Institutes/All.aspx,Commission for Academic Accreditation (CAA) - Higher Education Institutions
Saudi Arabia,King Saud University,YES,https://www.cua.gov.sa/en/public-universities/,Council of Universities Affairs - Public universities
Saudi Arabia,King Abdulaziz University,YES,https://www.cua.gov.sa/en/public-universities/,Council of Universities Affairs - Public universities
Saudi Arabia,Imam Mohammad Ibn Saud Islamic University,YES,https://www.cua.gov.sa/en/public-universities/,Council of Universities Affairs - Public universities
Saudi Arabia,King Faisal University,YES,https://www.cua.gov.sa/en/public-universities/,Council of Universities Affairs - Public universities
Saudi Arabia,Dar Al-Hekma University,YES,https://www.cua.gov.sa/en/private-universities-and-colleges/,Council of Universities Affairs - Private universities and colleges
Saudi Arabia,Effat University,YES,https://www.cua.gov.sa/en/private-universities-and-colleges/,Council of Universities Affairs - Private universities and colleges
Saudi Arabia,Prince Sultan University,YES,https://www.cua.gov.sa/en/private-universities-and-colleges/,Council of Universities Affairs - Private universities and colleges
Saudi Arabia,University of Business and Technology,YES,https://www.cua.gov.sa/en/private-universities-and-colleges/,Council of Universities Affairs - Private universities and colleges
Saudi Arabia,Islamic University of Madinah,YES,https://www.cua.gov.sa/en/public-universities/,Council of Universities Affairs - Public universities
Saudi Arabia,King Fahd University of Petroleum and Minerals,YES,https://www.cua.gov.sa/en/public-universities/,Council of Universities Affairs - Public universities
Saudi Arabia,King Saud bin Abdulaziz University for Health Sciences,YES,https://www.cua.gov.sa/en/public-universities/,Council of Universities Affairs - Public universities
Qatar,Qatar University,YES,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,Ministry of Education and Higher Education - Higher Education in Qatar
Qatar,Community College of Qatar,YES,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,Ministry of Education and Higher Education - Higher Education in Qatar
Qatar,Virginia Commonwealth University School of the Arts in Qatar,YES,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,Ministry of Education and Higher Education - Higher Education in Qatar
Qatar,Al Rayyan International University College,YES,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,Ministry of Education and Higher Education - Higher Education in Qatar
Qatar,Weill Cornell Medicine-Qatar,YES,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,Ministry of Education and Higher Education - Higher Education in Qatar
Qatar,Texas A&M University at Qatar,YES,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,Ministry of Education and Higher Education - Higher Education in Qatar
Qatar,Qatar Aeronautical Academy,YES,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,Ministry of Education and Higher Education - Higher Education in Qatar
Qatar,Qatar Olympic Academy,YES,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,Ministry of Education and Higher Education - Higher Education in Qatar
Qatar,Qatar Leadership Centre,YES,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,Ministry of Education and Higher Education - Higher Education in Qatar
Qatar,Qatar Finance and Business Academy,YES,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,Ministry of Education and Higher Education - Higher Education in Qatar
Oman,Sultan Qaboos University,YES,https://www.moheri.gov.om/InnerPage.aspx?ID=4438f693-dac7-4ad5-9c06-5ab179810b88&culture=en,"Ministry of Higher Education, Research and Innovation - Government Higher Education institutions"
Oman,Majan University College,YES,https://eservices.moheri.gov.om/Student/PDF/PrivateUniversities%26Colleges.pdf,Ministry of Higher Education - Private Universities & Colleges
Oman,Modern College of Business and Science,YES,https://eservices.moheri.gov.om/Student/PDF/PrivateUniversities%26Colleges.pdf,Ministry of Higher Education - Private Universities & Colleges
