Source_ID,Jurisdiction,Layer,Exact_title,Issuer,Version_or_issue_date,Language,Original_URL,Access_or_retrieval_date,Preservation_status
GCC01,GCC,Regional,"GCC AI coordination: ethics manual, public-services framework, and unified Gulf strategy work",GCC General Secretariat,2025,Arabic/English,https://www.gcc-sg.org/en/MediaCenter/News/Pages/news-2025-10-7-2.aspx,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
GCC02,GCC,Regional,Adopted GCC AI frameworks and expected Gulf AI Strategy adoption,GCC General Secretariat,2025,Arabic/English,https://www.gcc-sg.org/en/MediaCenter/News/Pages/default.aspx?FilterField1=Category&FilterValue1=Secretary+General&PageFirstRow=21&Paged=TRUE&View=08d56bf8-101c-4f4a-ad8f-9009dfc936bd&p_ArticleStartDate=20251205+21%3A00%3A00&p_ID=1580&p_SortBehavior=0,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
GCC03,GCC,Regional,Ministerial agenda on a unified GCC AI strategy and two general AI frameworks,GCC General Secretariat,2025,Arabic/English,https://www.gcc-sg.org/en/MediaCenter/News/Pages/default.aspx?PageFirstRow=91&Paged=TRUE&View=%7B08D56BF8-101C-4F4A-AD8F-9009DFC936BD%7D&p_ArticleStartDate=20251007+21%3A00%3A00&p_ID=1481&p_SortBehavior=0,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
UAE01,United Arab Emirates,L1,UAE Strategy for Artificial Intelligence 2031,UAE Government,2017,Arabic/English,https://u.ae/en/about-the-uae/digital-uae/digital-technology/artificial-intelligence/artificial-intelligence-in-government-policies,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
UAE02,United Arab Emirates,L2,UAE Charter for the Development and Use of Artificial Intelligence,UAE Government,2024,Arabic/English,https://u.ae/en/about-the-uae/strategies-initiatives-and-awards/policies/Ai/The-UAE-Charter-for-the-Development-and-Use-of-Artificial-Intelligence,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
UAE03,United Arab Emirates,L2,Dubai AI Ethics Principles and Guidelines,Digital Dubai,2019,English,https://www.digitaldubai.ae/docs/default-source/ai-principles-resources/ai-ethics.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
UAE04,United Arab Emirates,L4,Generative AI Usage by the Students Policy,United Arab Emirates University,2025,English,https://www.uaeu.ac.ae/en/about/pdfs/policies-2025/generative-ai-policy.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
UAE05,United Arab Emirates,L4,Generative AI Tools in Teaching and Learning Policy,American University of Sharjah,2024,English,https://aihub.aus.edu/wp-content/uploads/2025/09/FINAL-0.f.-Generative-AI-GAI-Tools-in-Teaching-Learning-Policy-January-1-2024.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
SAU01,Saudi Arabia,L1,National Strategy for Data and Artificial Intelligence,Saudi Data and AI Authority,2020,Arabic/English,https://sdaia.gov.sa/en/SDAIA/SdaiaStrategies/Documents/NSDAI.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
SAU02,Saudi Arabia,L2,Generative AI Guidelines for Government,Saudi Data and AI Authority,2024,Arabic/English,https://sdaia.gov.sa/en/SDAIA/about/Files/GenAIGuidelinesForGovernmentENCompressed.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
SAU03,Saudi Arabia,L3,Generative AI in Education,Saudi Data and AI Authority,2024,Arabic,https://sdaia.gov.sa/ar/MediaCenter/KnowledgeCenter/ResearchLibrary/GenAIE.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
SAU04,Saudi Arabia,L4,Generative AI Use Policy,Princess Nourah bint Abdulrahman University,2025,English,https://pnu.edu.sa/ar/Deanship/Devandskilldean/ViceDeanshipofdevelopment/Documents/%D8%A8%D8%AE%D8%AA%D9%85_%D8%A7%D9%84%D9%88%D9%83%D8%A7%D9%84%D8%A9_%D9%88_%D8%A7%D9%85%D8%A7%D9%86%D8%A9_%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3_Generative_AI_Use_Policy_English_August_2025_%281%29%5B1%5D.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
SAU05,Saudi Arabia,L4,Policies for the Use of Artificial Intelligence in Education and Scientific Research,Imam Abdulrahman Bin Faisal University,2024,English,https://iauelearning.iau.edu.sa/storage/policyandrules/policies_for_the_use_of_artificial_intelligence_education_and_scientific_research_en.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
QAT01,Qatar,L1,National Artificial Intelligence Strategy for Qatar,Ministry of Communications and Information Technology,2019,English,https://www.mcit.gov.qa/-/media/mcit/documents/strategies/national_artificial_intelligence_strategy_for_qatar_2019_en.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
QAT02,Qatar,L3,Education Strategy 2024-2030,Ministry of Education and Higher Education,2024,Arabic/English,https://edu.gov.qa/en/News/Details/10424400,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
QAT04,Qatar,L2,Ethical Principles and Guidelines for the Development and Use of AI Technologies - official launch references,Ministry of Communications and Information Technology,2025,Arabic/English,https://www.mcit.gov.qa/en/news/mcit-main-partners-in-organizing-the-international-conference-on-ai-and-human-rights,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
QAT03,Qatar,L4,Instructions on the Use of Generative Artificial Intelligence Tools at Qatar University,Qatar University,2025,English,https://www.qu.edu.qa/en-us/about/policy/Documents/Instructions%20onThe%20Use%20of%20Generative%20Artificial%20Intelligence%20Tools%20at%20Qatar%20University-Approved.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
OMN01,Oman,L1,Executive Program for Artificial Intelligence and Advanced Technologies 2024-2026,Government of Oman,2024,Arabic/English,https://oman.om/docs/default-source/default-document-library/the-executive-program-for-ai-and-advanced-technologies.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
OMN02,Oman,L2,General Policy for the Safe and Ethical Use of Artificial Intelligence Systems,"Ministry of Transport, Communications and Information Technology",2025,Arabic/English,https://mtcit.gov.om/library-3/legislations-policies-8/policies-73/general-policy-for-the-safe-and-ethical-use-of-artificial-intelligence-systems-291,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
OMN03,Oman,L4,Policy Manual January 2026,Bayan University College,2026,English,https://buc.edu.om/wp-content/uploads/_pda/2026/02/BUC-Policy-Manual-January-26-2026.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
OMN04,Oman,L4,"Guidelines for Using GenAI Tools in Teaching, Learning and Assessment",Sultan Qaboos University / Centre for Excellence in Teaching and Learning,2024,English,https://www.squ.edu.om/About/Support-Centers-/Centre-For-Excellence-In-Teaching-and-Learning,2026-09-05 source-recovery audit; historical cutoff retained at 2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
BHR01,Bahrain,L2,General Policy for the Use of Artificial Intelligence,Information & eGovernment Authority,2025,Arabic/English,https://www.iga.gov.bh/Media/Publications/National%20Digital%20Policies/General%20Policy%20for%20the%20Use%20of%20AI%20-%20%20Final%2030%20Jul%202025.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
BHR02,Bahrain,L1,Kingdom of Bahrain AI Readiness Assessment Methodology Report,Information & eGovernment Authority / UNESCO,2025,English,https://www.iga.gov.bh/Media/Agencies/Kingdom%20of%20Bahrain%20AI%20RAM%20Report.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
BHR03,Bahrain,L3,Digital Empowerment in Education Program,Ministry of Education,2015,Arabic/English,https://moe.gov.bh/en/digital-empowerment-in-education-program,2026-07-23,Official locator retained; program target groups are school-sector; no HE applicability documented under the clarified L3 gate.
BHR04,Bahrain,L4,Academic Regulations Version 2,Bahrain Polytechnic,2024,English,https://www.polytechnic.bh/wp-content/uploads/2024/09/Academic-Regulations-BP-2.0-July-2024_Version-2.pdf,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
KWT01,Kuwait,L1,National Strategy for Artificial Intelligence Workshop,Central Agency for Information Technology,2024,Arabic/English,https://cait.gov.kw/en/media-center/news-events/741/,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
KWT02,Kuwait,L1,International Conference on Artificial Intelligence: strategy in final stages,Central Agency for Information Technology,2024,Arabic/English,https://cait.gov.kw/en/media-center/news-events/733/,2026-07-23,No third-party snapshot bundled in public release; official locator and source identity retained.
